dataset_type,,harmful,harmful,harmful,harmful,harmful,harmful,harmful,harmful,harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful
dataset,,Aegis,HarmB,OAI,SimpST,ToxiC hum,WG,WJ,XS,AVG,Alpaca,BBH,Codex,GSM8k,MMLU,MTBench,TruthfulQA,AVG
model_type,model,,,,,,,,,,,,,,,,,
Guard,aegis_defensive,81.00%,70.46%,76.44%,97.96%,75.61%,72.09%,75.44%,81.53%,78.82%,99.01%,97.78%,100.00%,99.92%,99.20%,100.00%,95.95%,98.84%
Guard,llama_guard_3_8b,71.74%,98.94%,79.11%,99.50%,54.11%,76.76%,67.83%,88.52%,79.56%,98.63%,99.81%,100.00%,100.00%,99.93%,98.75%,99.87%,99.57%
Guard,wildguard,89.78%,99.37%,72.28%,99.50%,70.14%,88.04%,97.10%,95.26%,88.93%,96.89%,100.00%,100.00%,100.00%,99.71%,97.50%,96.58%,98.67%
Hidden States Maha,llama3_8b,79.62%,96.31%,59.65%,94.74%,49.48%,81.69%,82.49%,73.13%,77.14%,87.20%,98.80%,99.39%,100.00%,91.25%,86.25%,93.54%,93.78%
Hidden States Maha,llama3_8b_inst,82.08%,99.16%,73.02%,99.50%,64.82%,85.39%,91.19%,94.85%,86.25%,95.28%,100.00%,100.00%,100.00%,100.00%,98.75%,94.81%,98.41%
Hidden States Maha,llama_guard_3_8b,84.62%,99.58%,72.93%,98.99%,61.45%,88.04%,93.54%,92.27%,86.43%,96.65%,99.91%,100.00%,100.00%,99.74%,100.00%,99.75%,99.44%
Hidden States Maha,mistral12b_inst,82.84%,100.00%,69.39%,99.50%,61.34%,85.93%,89.27%,93.99%,85.28%,93.04%,98.43%,99.39%,99.92%,100.00%,98.75%,96.84%,98.05%
Hidden States Maha,mistral7b,76.28%,92.10%,59.95%,96.91%,53.08%,82.56%,81.14%,68.21%,76.28%,89.57%,90.83%,98.78%,100.00%,95.48%,93.75%,93.04%,94.49%
Hidden States Maha,mistral7b_inst,84.58%,98.94%,68.74%,98.48%,56.91%,85.31%,89.02%,91.49%,84.18%,92.30%,54.17%,98.78%,100.00%,99.16%,92.50%,93.80%,90.10%
Hidden States Maha,mistral_24b_inst,84.26%,99.16%,72.45%,98.48%,63.41%,86.63%,90.20%,92.99%,85.95%,95.28%,94.35%,100.00%,97.50%,99.67%,97.50%,95.32%,97.09%
Hidden States Maha,olmo2_0325_32b_inst,87.02%,99.79%,77.78%,100.00%,75.41%,89.24%,96.67%,95.51%,90.18%,98.51%,100.00%,100.00%,100.00%,100.00%,100.00%,98.61%,99.59%
Hidden States Maha,olmo2_0425_1b_inst,82.60%,99.58%,70.51%,98.99%,68.01%,87.24%,92.86%,89.39%,86.15%,96.40%,100.00%,100.00%,100.00%,100.00%,98.75%,97.09%,98.89%
Hidden States Maha,olmo2_1124_13b_inst,87.25%,99.79%,74.66%,99.50%,76.81%,88.61%,96.85%,96.32%,89.97%,98.26%,100.00%,100.00%,100.00%,99.96%,100.00%,97.22%,99.35%
Hidden States Maha,olmo2_1124_7b,79.16%,92.34%,59.60%,96.91%,51.11%,82.04%,81.29%,75.61%,77.26%,87.70%,98.61%,84.76%,98.64%,97.30%,86.25%,96.46%,92.82%
Hidden States Maha,olmo2_1124_7b_dpo,88.25%,98.73%,73.77%,99.50%,74.31%,87.92%,96.61%,96.91%,89.50%,98.26%,100.00%,100.00%,100.00%,100.00%,96.25%,97.97%,98.93%
Hidden States Maha,olmo2_1124_7b_inst,88.25%,98.30%,73.69%,99.50%,74.59%,87.93%,96.64%,96.64%,89.44%,97.89%,100.00%,100.00%,100.00%,100.00%,96.25%,98.23%,98.91%
Hidden States Maha,olmo2_1124_7b_sft,87.61%,97.86%,72.24%,99.50%,72.99%,88.15%,96.47%,96.08%,88.86%,98.26%,100.00%,100.00%,100.00%,100.00%,96.25%,97.09%,98.80%
Hidden States Maha,olmoe_1b_7b_0125_inst,86.11%,87.00%,70.09%,99.50%,70.46%,87.33%,94.29%,91.55%,85.79%,96.02%,100.00%,100.00%,100.00%,98.87%,96.25%,98.10%,98.46%
Hidden States Maha,wildguard,89.18%,83.13%,66.91%,98.48%,70.13%,87.55%,97.31%,92.55%,85.65%,97.39%,98.24%,100.00%,100.00%,97.85%,100.00%,96.96%,98.63%
Hidden States NMC,llama3_8b,18.25%,91.61%,19.79%,51.85%,28.75%,62.72%,82.35%,2.01%,44.67%,72.80%,92.22%,82.93%,95.60%,63.27%,51.25%,100.00%,79.72%
Hidden States NMC,llama3_8b_inst,72.04%,80.50%,69.85%,98.48%,50.59%,78.35%,73.70%,93.85%,77.17%,99.50%,100.00%,100.00%,100.00%,100.00%,100.00%,98.10%,99.66%
Hidden States NMC,llama_guard_3_8b,58.43%,98.51%,72.14%,91.89%,57.26%,77.38%,85.05%,72.26%,76.62%,97.02%,61.02%,75.00%,97.19%,91.51%,90.00%,100.00%,87.39%
