dataset,model,num_datasets,dataset_type,score,model_type
wildjailbreak_test,llama3_8b_inst,wildguard,harmful,0.9119226638023631,Hidden States GDA
wildjailbreak_test,llama3_8b_inst,aegis,harmful,0.8626799557032115,Hidden States GDA
wildjailbreak_test,llama3_8b_inst,toxichat,harmful,0.8389854659447136,Hidden States GDA
wildjailbreak_test,llama3_8b_inst,wildguard+aegis,harmful,0.9103633916554509,Hidden States GDA
wildjailbreak_test,llama3_8b_inst,wildguard+toxichat,harmful,0.9109017496635262,Hidden States GDA
wildjailbreak_test,llama3_8b_inst,aegis+toxichat,harmful,0.85,Hidden States GDA
wildjailbreak_test,llama3_8b_inst,wildguard+aegis+toxichat,harmful,0.909433962264151,Hidden States GDA
simplesafety_tests,llama3_8b_inst,wildguard,harmful,0.9949748743718593,Hidden States GDA
simplesafety_tests,llama3_8b_inst,aegis,harmful,1.0,Hidden States GDA
simplesafety_tests,llama3_8b_inst,toxichat,harmful,0.9795918367346939,Hidden States GDA
simplesafety_tests,llama3_8b_inst,wildguard+aegis,harmful,1.0,Hidden States GDA
simplesafety_tests,llama3_8b_inst,wildguard+toxichat,harmful,0.9949748743718593,Hidden States GDA
simplesafety_tests,llama3_8b_inst,aegis+toxichat,harmful,1.0,Hidden States GDA
simplesafety_tests,llama3_8b_inst,wildguard+aegis+toxichat,harmful,0.9949748743718593,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,wildguard,harmful,0.6482465462274176,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,aegis,harmful,0.6383495145631068,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,toxichat,harmful,0.803788903924222,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,wildguard+aegis,harmful,0.6510638297872341,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,wildguard+toxichat,harmful,0.741826381059752,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,aegis+toxichat,harmful,0.7872860635696821,Hidden States GDA
toxicchat_humanannotated,llama3_8b_inst,wildguard+aegis+toxichat,harmful,0.741826381059752,Hidden States GDA
xstest,llama3_8b_inst,wildguard,harmful,0.9484536082474226,Hidden States GDA
