model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b_inst,aegis,1,0.5181058495821727,0.45768025078369906,0.3133047210300429,0.8968253968253969,0.704799373254309,0.8110136588906194,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,2,0.5487465181058496,0.5,0.34763948497854075,0.9206349206349206,0.7893930104230534,0.846845946304136,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,3,0.5682451253481894,0.5345345345345346,0.38197424892703863,0.9126984126984127,0.7890012943661011,0.853264245398998,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,4,0.6128133704735376,0.6212534059945504,0.4892703862660944,0.8412698412698413,0.7954731248722665,0.8500927095927651,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,5,0.6740947075208914,0.6945169712793734,0.5708154506437768,0.8650793650793651,0.837012058042101,0.8851303125148811,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,6,0.7047353760445683,0.7268041237113402,0.6051502145922747,0.8888888888888888,0.8496661897949452,0.9018300027957924,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,7,0.7353760445682451,0.7665847665847666,0.6695278969957081,0.8571428571428571,0.880032699775189,0.9286763491377061,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,8,0.766016713091922,0.7980769230769231,0.7124463519313304,0.8650793650793651,0.8960249335785817,0.9390490237785942,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,9,0.7994428969359332,0.8293838862559242,0.7510729613733905,0.8888888888888888,0.9119831051161523,0.9523438630890695,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,10,0.7966573816155988,0.8282352941176471,0.7553648068669528,0.873015873015873,0.9106546767490974,0.9483863905876191,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,11,0.807799442896936,0.8413793103448276,0.7854077253218884,0.8492063492063492,0.9164622930717351,0.9523460940900321,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,12,0.8022284122562674,0.8352668213457076,0.7725321888412017,0.8571428571428571,0.905988146331494,0.9442258006763827,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,13,0.7883008356545961,0.8240740740740741,0.7639484978540773,0.8333333333333334,0.9072995435656381,0.949218810557289,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,14,0.8272980501392758,0.8571428571428571,0.7982832618025751,0.8809523809523809,0.9163090128755365,0.955439905268646,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,15,0.8133704735376045,0.8445475638051044,0.7811158798283262,0.873015873015873,0.9133966891477622,0.9560252952419181,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,16,0.807799442896936,0.8413793103448276,0.7854077253218884,0.8492063492063492,0.9066864227808433,0.9511058447888006,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,17,0.8050139275766016,0.8379629629629629,0.776824034334764,0.8571428571428571,0.9049662783568364,0.9523492441481409,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,18,0.8217270194986073,0.8504672897196262,0.7811158798283262,0.8968253968253969,0.915270113767968,0.9573018830059166,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,19,0.8245125348189415,0.8538283062645011,0.7896995708154506,0.8888888888888888,0.9130730976224539,0.9559186383548728,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,20,0.8133704735376045,0.8438228438228438,0.776824034334764,0.8809523809523809,0.9068056407112202,0.9509379246175294,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,21,0.8133704735376045,0.8423529411764706,0.7682403433476395,0.8968253968253969,0.9068056407112202,0.9451824958362576,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,22,0.8217270194986073,0.8504672897196262,0.7811158798283262,0.8968253968253969,0.9141290278629335,0.9512948669951067,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,23,0.8133704735376045,0.8430913348946136,0.7725321888412017,0.8888888888888888,0.9144015259895089,0.954981571710762,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,24,0.8161559888579387,0.8457943925233645,0.776824034334764,0.8888888888888888,0.912562163635125,0.9541051060185426,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,25,0.8217270194986073,0.8497652582159625,0.776824034334764,0.9047619047619048,0.906499080318823,0.9523569561216315,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,26,0.8105849582172702,0.8403755868544601,0.7682403433476395,0.8888888888888888,0.9006403705974521,0.9490115074953451,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,27,0.8105849582172702,0.8403755868544601,0.7682403433476395,0.8888888888888888,0.898937257306356,0.9482487466664214,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,28,0.8161559888579387,0.8457943925233645,0.776824034334764,0.8888888888888888,0.8921929286736153,0.9441231445985159,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,29,0.8105849582172702,0.8403755868544601,0.7682403433476395,0.8888888888888888,0.8930785475849853,0.9451484044795412,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,30,0.7966573816155988,0.8274231678486997,0.7510729613733905,0.8809523809523809,0.8904557531166973,0.9438918038812238,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,31,0.7938718662952646,0.8254716981132075,0.7510729613733905,0.873015873015873,0.895428843926698,0.9435712800159675,126,233,Hidden States Maha,32
llama3_8b_inst,aegis,32,0.7883008356545961,0.8207547169811321,0.7467811158798283,0.8650793650793651,0.8946624429457047,0.9409609884574155,126,233,Hidden States Maha,32
llama3_8b_inst,harmbench,1,0.9079497907949791,0.9517543859649122,0.9079497907949791,0.0,,1.0,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,2,0.9581589958158996,0.9786324786324786,0.9581589958158996,0.0,,1.0,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,3,0.9205020920502092,0.9586056644880174,0.9205020920502092,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,4,0.9246861924686193,0.9608695652173913,0.9246861924686193,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,5,0.9707112970711297,0.9851380042462845,0.9707112970711297,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,6,0.9790794979079498,0.9894291754756871,0.9790794979079498,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,7,0.9748953974895398,0.9872881355932204,0.9748953974895398,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,8,0.9790794979079498,0.9894291754756871,0.9790794979079498,0.0,,1.0,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,9,1.0,1.0,1.0,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
