model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b,wildguardtest,0,0.633313713949382,0.6147186147186147,0.6591511936339522,0.6126984126984127,0.6417406986372504,0.5448516825581022,945,754,Hidden States Maha,
llama3_8b,wildguardtest,1,0.736904061212478,0.6836518046709129,0.6405835543766578,0.8137566137566138,0.7908558236144444,0.7934255096111464,945,754,Hidden States Maha,
llama3_8b,wildguardtest,2,0.696291936433196,0.6406685236768802,0.610079575596817,0.765079365079365,0.7447054860847964,0.7502819026394396,945,754,Hidden States Maha,
llama3_8b,wildguardtest,3,0.7227781047675103,0.6487695749440716,0.5769230769230769,0.8391534391534392,0.7683451924831235,0.7657904683948243,945,754,Hidden States Maha,
llama3_8b,wildguardtest,4,0.7692760447321955,0.7052631578947368,0.6220159151193634,0.8867724867724868,0.8220748600058945,0.8161082258717445,945,754,Hidden States Maha,
llama3_8b,wildguardtest,5,0.7822248381400824,0.725111441307578,0.6472148541114059,0.8899470899470899,0.8530005754143685,0.8403475759049274,945,754,Hidden States Maha,
llama3_8b,wildguardtest,6,0.7928193054738081,0.7392592592592593,0.6618037135278515,0.8973544973544973,0.8649116528426872,0.8489060307613681,945,754,Hidden States Maha,
llama3_8b,wildguardtest,7,0.785167745732784,0.7329919531821507,0.6644562334217506,0.8814814814814815,0.8644850041401766,0.8369682518045677,945,754,Hidden States Maha,
llama3_8b,wildguardtest,8,0.8098881695114774,0.7633699633699633,0.6909814323607427,0.9047619047619048,0.892002442002442,0.8654514411362766,945,754,Hidden States Maha,
llama3_8b,wildguardtest,9,0.8216597998822837,0.7796363636363637,0.7108753315649867,0.91005291005291,0.8970492470492472,0.8716492443481427,945,754,Hidden States Maha,
llama3_8b,wildguardtest,10,0.8293113596233078,0.7889374090247453,0.7188328912466844,0.9174603174603174,0.9050292619258138,0.8800412660141961,945,754,Hidden States Maha,
llama3_8b,wildguardtest,11,0.8393172454384933,0.8028880866425993,0.7374005305039788,0.9206349206349206,0.9139278346174897,0.8914474958150082,945,754,Hidden States Maha,
llama3_8b,wildguardtest,12,0.8322542672160094,0.7933284989122552,0.7254641909814323,0.9174603174603174,0.9144569351465903,0.8918194738671082,945,754,Hidden States Maha,
llama3_8b,wildguardtest,13,0.8416715715126545,0.806056236481615,0.7413793103448276,0.9216931216931217,0.9180027507613714,0.898057854046499,945,754,Hidden States Maha,
llama3_8b,wildguardtest,14,0.8452030606238964,0.8109273903666427,0.7480106100795756,0.9227513227513228,0.9204707170224412,0.8970934351093063,945,754,Hidden States Maha,
llama3_8b,wildguardtest,15,0.8487345497351383,0.8144404332129964,0.7480106100795756,0.9291005291005291,0.9175796106830589,0.8926646246890143,945,754,Hidden States Maha,
llama3_8b,wildguardtest,16,0.8422601530311948,0.8069164265129684,0.7427055702917772,0.9216931216931217,0.9176104865760039,0.8934020012360907,945,754,Hidden States Maha,
llama3_8b,wildguardtest,17,0.8469688051795173,0.8126801152737753,0.7480106100795756,0.9259259259259259,0.9191156863570658,0.895959388529683,945,754,Hidden States Maha,
