model,num_samples,seed,dataset,accuracy,f1,true_positive_rate,true_negative_rate,negative_support,positive_support,roc_auc,average_precision
llama3_8b_inst,10,seed_0,wildguardtest,0.8393172454384933,0.8048606147248034,0.746684350132626,0.9132275132275133,945,754,0.8868587989277645,0.8685115346031114
llama3_8b_inst,100,seed_0,wildguardtest,0.8569746909947028,0.831833910034602,0.7970822281167109,0.9047619047619048,945,754,0.9087147207836864,0.885952967182907
llama3_8b_inst,1000,seed_0,wildguardtest,0.8834608593290171,0.8656716417910447,0.8461538461538461,0.9132275132275133,945,754,0.9295468260985503,0.9239502251520421
llama3_8b_inst,10000,seed_0,wildguardtest,0.8964096527369041,0.8784530386740331,0.843501326259947,0.9386243386243386,945,754,0.9525016490533732,0.945239883439388
llama3_8b_inst,20000,seed_0,wildguardtest,0.8987639788110653,0.8813793103448276,0.8474801061007957,0.9396825396825397,945,754,0.9536117777497088,0.9460574918282215
llama3_8b_inst,40000,seed_0,wildguardtest,0.8969982342554443,0.8787248787248787,0.8408488063660478,0.9417989417989417,945,754,0.9537114226769399,0.945761102469048
llama3_8b_inst,10,seed_1,wildguardtest,0.7992937021777516,0.7155963302752294,0.5689655172413793,0.9830687830687831,945,754,0.802030791685964,0.7767239663641738
llama3_8b_inst,100,seed_1,wildguardtest,0.8534432018834609,0.8227758007117437,0.76657824933687,0.9227513227513228,945,754,0.9074909126633264,0.8854697081867758
llama3_8b_inst,1000,seed_1,wildguardtest,0.8799293702177752,0.8589211618257261,0.8236074270557029,0.9248677248677248,945,754,0.9319846181915148,0.9221718166376285
llama3_8b_inst,10000,seed_1,wildguardtest,0.8975868157739847,0.8795013850415513,0.8421750663129973,0.9417989417989417,945,754,0.9533338947132051,0.9472612337096041
llama3_8b_inst,20000,seed_1,wildguardtest,0.8993525603296056,0.8819875776397516,0.8474801061007957,0.9407407407407408,945,754,0.9544875303495994,0.9475916977999592
llama3_8b_inst,40000,seed_1,wildguardtest,0.898175397292525,0.8802768166089966,0.843501326259947,0.9417989417989417,945,754,0.953896678034609,0.9455347023919515
llama3_8b_inst,10,seed_2,wildguardtest,0.8393172454384933,0.8084210526315789,0.7639257294429708,0.8994708994708994,945,754,0.8987811039535178,0.8934314573820433
llama3_8b_inst,100,seed_2,wildguardtest,0.8487345497351383,0.8108903605592347,0.7307692307692307,0.9428571428571428,945,754,0.916712980506084,0.9037977686831893
llama3_8b_inst,1000,seed_2,wildguardtest,0.8822836962919365,0.8609179415855355,0.8209549071618037,0.9312169312169312,945,754,0.9354848216917184,0.9308333550752499
llama3_8b_inst,10000,seed_2,wildguardtest,0.8917010005885815,0.8727524204702628,0.8368700265251989,0.9354497354497354,945,754,0.9516581757961068,0.9458628697134634
