model,model_type,num_categories,dataset_type,score
llama3_8b_inst,Hidden States GDA,1,harmful,0.7956487956487956
llama3_8b_inst,Hidden States GDA,2,harmful,0.8291233283803864
llama3_8b_inst,Hidden States GDA,3,harmful,0.8365243004418262
llama3_8b_inst,Hidden States GDA,4,harmful,0.8427947598253275
llama3_8b_inst,Hidden States GDA,5,harmful,0.8459869848156182
llama3_8b_inst,Hidden States GDA,6,harmful,0.8449891852919971
llama3_8b_inst,Hidden States GDA,7,harmful,0.8516405135520685
llama3_8b_inst,Hidden States GDA,8,harmful,0.851457000710732
llama3_8b_inst,Hidden States GDA,9,harmful,0.8593639575971731
llama3_8b_inst,Hidden States GDA,10,harmful,0.858151023288638
llama3_8b_inst,Hidden States GDA,11,harmful,0.8589473684210527
llama3_8b_inst,Hidden States GDA,12,harmful,0.8593421973407978
llama3_8b_inst,Hidden States GDA,13,harmful,0.8595505617977528
llama3_8b_inst,Hidden States GDA,14,harmful,0.859538784067086
llama3_8b_inst,Hidden States Maha,1,harmful,0.4945164506480558
llama3_8b_inst,Hidden States Maha,2,harmful,0.504950495049505
llama3_8b_inst,Hidden States Maha,3,harmful,0.5079051383399209
llama3_8b_inst,Hidden States Maha,4,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,5,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,6,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,7,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,8,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,9,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,10,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,11,harmful,0.5166994106090373
llama3_8b_inst,Hidden States Maha,12,harmful,0.5196078431372549
llama3_8b_inst,Hidden States Maha,13,harmful,0.5210577864838394
llama3_8b_inst,Hidden States Maha,14,harmful,0.5210577864838394
llama3_8b_inst,Hidden States NMC,1,harmful,0.8151447661469933
llama3_8b_inst,Hidden States NMC,2,harmful,0.8179808400884304
llama3_8b_inst,Hidden States NMC,3,harmful,0.8179148311306902
llama3_8b_inst,Hidden States NMC,4,harmful,0.8216374269005848
llama3_8b_inst,Hidden States NMC,5,harmful,0.8216374269005848
llama3_8b_inst,Hidden States NMC,6,harmful,0.8216374269005848
llama3_8b_inst,Hidden States NMC,7,harmful,0.8208092485549133
llama3_8b_inst,Hidden States NMC,8,harmful,0.8208092485549133
llama3_8b_inst,Hidden States NMC,9,harmful,0.8208092485549133
llama3_8b_inst,Hidden States NMC,10,harmful,0.8208092485549133
llama3_8b_inst,Hidden States NMC,11,harmful,0.8208092485549133
llama3_8b_inst,Hidden States NMC,12,harmful,0.8169418521177315
llama3_8b_inst,Hidden States NMC,13,harmful,0.8169418521177315
llama3_8b_inst,Hidden States NMC,14,harmful,0.8169418521177315
mistral12b_inst,Hidden States GDA,1,harmful,0.7592295345104334
mistral12b_inst,Hidden States GDA,2,harmful,0.8123123123123123
mistral12b_inst,Hidden States GDA,3,harmful,0.8074626865671641
mistral12b_inst,Hidden States GDA,4,harmful,0.8217967599410898
mistral12b_inst,Hidden States GDA,5,harmful,0.8272327964860908
mistral12b_inst,Hidden States GDA,6,harmful,0.8323615160349854
mistral12b_inst,Hidden States GDA,7,harmful,0.8418038654259127
mistral12b_inst,Hidden States GDA,8,harmful,0.8490028490028491
mistral12b_inst,Hidden States GDA,9,harmful,0.8526912181303116
mistral12b_inst,Hidden States GDA,10,harmful,0.8535031847133758
mistral12b_inst,Hidden States GDA,11,harmful,0.8559381588193956
mistral12b_inst,Hidden States GDA,12,harmful,0.8621413575927221
mistral12b_inst,Hidden States GDA,13,harmful,0.8615384615384616
mistral12b_inst,Hidden States GDA,14,harmful,0.8619246861924686
mistral12b_inst,Hidden States Maha,1,harmful,0.33185840707964603
mistral12b_inst,Hidden States Maha,2,harmful,0.3590859630032644
mistral12b_inst,Hidden States Maha,3,harmful,0.3714902807775378
mistral12b_inst,Hidden States Maha,4,harmful,0.3854389721627409
mistral12b_inst,Hidden States Maha,5,harmful,0.3854389721627409
mistral12b_inst,Hidden States Maha,6,harmful,0.3854389721627409
mistral12b_inst,Hidden States Maha,7,harmful,0.3888888888888889
mistral12b_inst,Hidden States Maha,8,harmful,0.3888888888888889
mistral12b_inst,Hidden States Maha,9,harmful,0.3888888888888889
mistral12b_inst,Hidden States Maha,10,harmful,0.3888888888888889
mistral12b_inst,Hidden States Maha,11,harmful,0.3888888888888889
mistral12b_inst,Hidden States Maha,12,harmful,0.39232409381663114
mistral12b_inst,Hidden States Maha,13,harmful,0.4059196617336152
mistral12b_inst,Hidden States Maha,14,harmful,0.4059196617336152
mistral12b_inst,Hidden States NMC,1,harmful,0.6828947368421052
mistral12b_inst,Hidden States NMC,2,harmful,0.7061790668348046
mistral12b_inst,Hidden States NMC,3,harmful,0.7061790668348046
mistral12b_inst,Hidden States NMC,4,harmful,0.7615062761506276
mistral12b_inst,Hidden States NMC,5,harmful,0.7615062761506276
mistral12b_inst,Hidden States NMC,6,harmful,0.7622461170848268
mistral12b_inst,Hidden States NMC,7,harmful,0.7621843805049912
mistral12b_inst,Hidden States NMC,8,harmful,0.7621843805049912
mistral12b_inst,Hidden States NMC,9,harmful,0.7629107981220657
mistral12b_inst,Hidden States NMC,10,harmful,0.7629107981220657
mistral12b_inst,Hidden States NMC,11,harmful,0.7631887456037515
mistral12b_inst,Hidden States NMC,12,harmful,0.7634660421545667
mistral12b_inst,Hidden States NMC,13,harmful,0.7634660421545667
mistral12b_inst,Hidden States NMC,14,harmful,0.7649122807017544
mistral7b_inst,Hidden States GDA,1,harmful,0.7433198380566801
mistral7b_inst,Hidden States GDA,2,harmful,0.7878787878787878
mistral7b_inst,Hidden States GDA,3,harmful,0.7963800904977375
